ID;Project Name;Camera Trap Name;Latitude;Longitude;Sampling Event;Photo Type;Photo Date;Photo time;Raw Name;Class;Order;Family;Genus;Species;Genus Species;Number of Animals;Person Identifying the Photo;Camera Serial Number;Camera Start Date;Camera End Date;Person setting up the Camera;Person picking up the Camera;Camera Manufacturer;Camera Model;Sequence Info;Moon Phase;Temperature;Flash;Organization Name
1;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:19;03030001.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
2;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:20;03030002.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
3;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:25;03030003.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
4;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:32;03030004.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
5;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:34;03030005.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
6;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:38;03030006.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
7;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:11:39;03030007.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
8;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:12:54;03030008.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
9;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:13:16;03030009.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
10;Mountain Tapir;CT-LC-2-01;-77.102497;0.931988;Marzo 2019;Setup/Pickup;2019-03-03;12:13:59;03030010.JPG;;;;;; ;;;B160534465;2019-03-01;2019-06-30;Juan Sanchez;Juan Sanchez;Bushnell;Trophy Cam HD;;;;0;
