camera_trap,elev,dist_casa
EC-1,1681,370
EC-10,2217,500
EC-11,2030,500
EC-12,2827,730
EC-13,2532,800
EC-14,2329,780
EC-15,1208,244
EC-16,1072,400
EC-19,1418,500
EC-2,1933,130
EC-21,1617,958
EC-22,1664,318
EC-26,1264,72
EC-27,1096,188
EC-28,1267,955
EC-3,1623,1050
EC-30,1943,150
EC-31,2248,170
EC-33,2458,743
EC-34,2482,880
EC-36,1850,70
EC-37,2320,500
EC-38,2689,440
EC-39,1977,900
EC-4,1015,250
EC-40,2534,700
EC-43,2960,350
EC-44,3233,200
EC-45,3189,250
EC-47,2627,128
EC-48,3284,925
EC-49,2942,365
EC-5,1664,500
EC-50,2052,200
EC-51,2930,424
EC-52,2868,688
EC-53,2690,178
EC-54,2911,1167
EC-55,2783,210
EC-56,2879,823
EC-57,2744,400
EC-58,2790,817
EC-59,2932,800
EC-6,1077,926
EC-60,3112,800
EC-61,2892,338
EC-63,1400,100
EC-66,2981,1116
EC-67,2966,916
EC-68,3130,2674
EC-69,2995,618
EC-7,1979,500
EC-72,1062,800
EC-73,1888,500
EC-74,1780,400
EC-76,2524,904
EC-77,2592,670
EC-8,1266,500
EC-80,2708,1000
EC-81,1779,724
EC-83,1836,372
EC-84,2020,220
EC-9,3032,1000
