"","o1","o2","o3","o4","o5","o6","o7","o8","o9","o10","deployment_id_cam","longitude","latitude","o1","o2","o3","o4","o5","o6","o7","o8","o9","o10"
"ARB01-2022-2067238",0,0,0,0,0,0,0,0,0,NA,"ARB01-2022-2067238",-75.64548,4.0098,11.5,12,12,12,12,12,12,12,5.5,NA
"ARB02-2022-2067243",0,0,0,0,0,0,0,0,0,NA,"ARB02-2022-2067243",-75.64142,4.01505,11.5,12,12,12,12,12,12,12,5.5,NA
"VAR01-2022-2067246",0,0,0,0,0,0,0,0,0,NA,"VAR01-2022-2067246",-75.62041,4.04634,11.5,12,12,12,12,12,12,12,1.5,NA
"LP01-2022-2067247",0,0,0,0,0,0,0,0,0,NA,"LP01-2022-2067247",-75.61535,4.02272,11.5,12,12,12,12,12,12,12,2.5,NA
"MICAY01-2022-2067249",0,0,0,0,0,0,0,0,0,NA,"MICAY01-2022-2067249",-75.71879,3.92385,11.5,12,12,12,12,12,12,12,1.5,NA
"CORT01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"CORT01-2022-2067260",-75.70712,3.91739,11.5,12,12,12,12,12,12,12,0.5,NA
"EDEN01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"EDEN01-2022-2067260",-75.69574,3.89509,11.5,12,12,12,12,12,12,12,1.5,NA
"LBR01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"LBR01-2022-2067260",-75.71011,3.91707,11.5,12,12,12,12,12,12,12,1.5,NA
"PER01-2022-2067260",0,0,0,0,0,0,0,1,0,NA,"PER01-2022-2067260",-75.69004,3.85857,11.5,12,12,12,12,12,12,12,0.5,NA
"PER02-2022-2067260",0,0,0,1,0,1,1,1,0,NA,"PER02-2022-2067260",-75.68665,3.85424,11.5,12,12,12,12,12,12,12,0.5,NA
"REC01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"REC01-2022-2067260",-75.69189,3.89428,11.5,12,12,12,12,12,12,12,1.5,NA
"VMA01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"VMA01-2022-2067260",-75.70391,3.92575,11.5,12,12,12,12,12,12,12,0.5,NA
"ALT01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"ALT01-2022-2067260",-75.78386,3.25202,11.5,12,12,12,12,12,12,12,0.5,NA
"AND01-2022-2067260",0,0,1,0,0,0,0,0,0,NA,"AND01-2022-2067260",-75.77686,3.228,11.5,12,12,12,12,12,12,12,1.5,NA
"ESP01-2022-2067260",0,0,0,0,0,0,0,0,NA,NA,"ESP01-2022-2067260",-75.7999,3.19533,11.5,12,12,12,12,12,12,10.5,NA,NA
"ESP02-2022-2067260",0,0,0,1,0,0,0,0,NA,NA,"ESP02-2022-2067260",-75.80624,3.18151,11.5,12,12,12,12,12,12,9.5,NA,NA
"ESP03-2022-2067260",0,1,1,0,0,0,0,0,NA,NA,"ESP03-2022-2067260",-75.80073,3.18317,11.5,12,12,12,12,12,12,9.5,NA,NA
"GUA01-2022-2067260",0,1,0,1,1,0,1,1,0,NA,"GUA01-2022-2067260",-75.76909,3.24522,11.5,12,12,12,12,12,12,12,0.5,NA
"JAM01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"JAM01-2022-2067260",-75.78276,3.24831,11.5,12,12,12,12,12,12,12,0.5,NA
"JAR01-2022-2067260",0,0,0,0,0,0,0,0,NA,NA,"JAR01-2022-2067260",-75.77666,3.24832,11.5,12,12,12,12,12,12,10.5,NA,NA
"LJ01-2022-2067260",0,0,0,0,0,0,1,1,0,NA,"LJ01-2022-2067260",-75.64982,4.02259,11.5,12,12,12,12,12,12,12,2.5,NA
"MA01-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"MA01-2022-2067260",-75.66147,3.97765,11.5,12,12,12,12,12,12,12,0.5,NA
"LB02-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"LB02-2022-2067260",-75.64052,3.9761,11.5,12,12,12,12,12,12,12,1.5,NA
"LB01-2022-2067260",0,0,0,0,0,0,0,0,NA,NA,"LB01-2022-2067260",-75.6406,3.98443,11.5,12,12,12,12,12,12,11.5,NA,NA
"CH02-2022-2067260",0,0,0,0,0,0,0,0,0,NA,"CH02-2022-2067260",-75.64834,4.06463,11.5,12,12,12,12,12,12,12,2.5,NA
"CH01-2022-2033703",0,0,0,0,0,0,0,0,0,NA,"CH01-2022-2033703",-75.65694,4.07219,11.5,12,12,12,12,12,12,12,2.5,NA
"LR01-2022-2067244",0,0,0,0,0,0,0,0,0,NA,"LR01-2022-2067244",-75.61626,4.03107,11.5,12,12,12,12,12,12,12,2.5,NA
"ALE01-2022-2067254",0,0,0,0,0,0,0,0,0,NA,"ALE01-2022-2067254",-75.71655,3.92191,11.5,12,12,12,12,12,12,12,1.5,NA
"VILL01-2022-2067248",0,0,0,0,0,0,0,0,NA,NA,"VILL01-2022-2067248",-75.65188,4.02668,11.5,12,12,12,12,12,12,10.5,NA,NA
"BAL01-2023-2067260",0,0,0,0,0,0,0,0,0,0,"BAL01-2023-2067260",-75.64147,3.88474,11.5,12,12,12,12,12,12,12,12,9.5
"BAL02-20223-2081500",0,0,0,0,0,0,0,0,0,0,"BAL02-20223-2081500",-75.64348,3.88672,11.5,12,12,12,12,12,12,12,12,9.5
